group	PANEL	fill	key	showSelected2	x	y
18	2	#FF9E81	18	validation	0.842701211646476	0.925629035832675
19	1	#FF9E81	19	sous-entraînement	0.0815296306656056	0.466704791985039
19	2	#A197CC	19	validation	0.77919105438469	0.588941784439868
20	1	#A197CC	20	sous-entraînement	0.408429590751157	0.507374620918608
20	2	#FF9E81	20	validation	0.691106207006178	1.03993407609129
21	1	#A197CC	21	sous-entraînement	0.705889359420853	0.653246604386229
21	2	#A197CC	21	validation	0.725228322831856	0.718153612043088
22	1	#A197CC	22	sous-entraînement	0.529859791567716	0.214230546029217
22	2	#A197CC	22	validation	0.69968414047882	0.250042698501583
23	1	#A197CC	23	sous-entraînement	0.751815281629781	0.352562584163863
23	2	#A197CC	23	validation	0.473923574945565	0.787457851160863
24	1	#A197CC	24	sous-entraînement	0.478099846021228	0.733914734162688
24	2	#FF9E81	24	validation	0.12768952961521	0.147887231415708
25	1	#FF9E81	25	sous-entraînement	0.610701279761684	0.915568144467846
25	2	#A197CC	25	validation	0.667998712148484	0.0966815885612355
26	1	#A197CC	26	sous-entraînement	0.860281485196569	0.577517919017655
26	2	#A197CC	26	validation	0.500128977199168	0.62145606633131
27	1	#A197CC	27	sous-entraînement	0.198329169658781	0.440748228369742
27	2	#A197CC	27	validation	0.422193688496974	0.325294578402543
28	1	#FF9E81	28	sous-entraînement	0.0457065453418125	0.238177778990819
28	2	#FF9E81	28	validation	-0.00369396836212481	0.535218512955329
29	1	#A197CC	29	sous-entraînement	0.487570928453394	0.103912723470787
29	2	#A197CC	29	validation	0.366273147368446	0.409475792058488
30	1	#A197CC	30	sous-entraînement	0.500294718309641	0.1914361331597
30	2	#A197CC	30	validation	0.592783734048475	0.29649215298853
31	1	#FF9E81	31	sous-entraînement	0.281671017714465	0.875632243861123
31	2	#A197CC	31	validation	0.934130943128047	0.332341121353903
32	1	#A197CC	32	sous-entraînement	0.376715806756273	0.822855378688818
32	2	#A197CC	32	validation	0.511989878695174	0.432018790234821
33	1	#A197CC	33	sous-entraînement	0.368321903944322	0.426626954549573
33	2	#FF9E81	33	validation	0.619908314658933	0.966600399825626
34	1	#A197CC	34	sous-entraînement	0.695085938135267	0.276031826941055
34	2	#A197CC	34	validation	0.465793896768572	0.0426992800211062
35	1	#A197CC	35	sous-entraînement	0.885698246998585	0.290623867172023
35	2	#FF9E81	35	validation	0.0770269342704119	0.707174297676156
36	1	#FF9E81	36	sous-entraînement	0.844730468582628	0.860333512417685
36	2	#A197CC	36	validation	0.454471857797289	0.617467493326823
37	1	#A197CC	37	sous-entraînement	0.329917284029691	0.523817625082434
37	2	#FF9E81	37	validation	0.36953342942992	0.813538810108926
38	1	#FF9E81	38	sous-entraînement	0.89046203442946	0.951955789367441
38	2	#A197CC	38	validation	0.459651202955274	0.388294469387919
39	1	#A197CC	39	sous-entraînement	0.493751793905962	0.778128706575983
39	2	#A197CC	39	validation	0.90372145091202	0.529859563918987
40	1	#FF9E81	40	sous-entraînement	1.02101341713726	0.949071795377785
40	2	#A197CC	40	validation	0.828690320773144	0.539491188506855
41	1	#A197CC	41	sous-entraînement	0.761709457217466	0.170883680924901
41	2	#A197CC	41	validation	0.373093313695972	0.313636662871781
42	1	#A197CC	42	sous-entraînement	0.251989650423566	0.46827790226863
42	2	#FF9E81	42	validation	0.410990609080784	0.952663874813089
43	1	#A197CC	43	sous-entraînement	0.194754524909138	0.139140013390691
43	2	#FF9E81	43	validation	0.783138285159902	0.848026827812394
44	1	#FF9E81	44	sous-entraînement	0.083387821047144	0.771758140337289
44	2	#A197CC	44	validation	0.784350588068446	0.724694122049344
45	1	#FF9E81	45	sous-entraînement	0.0969989045552084	0.597904547899913
45	2	#FF9E81	45	validation	0.223977926263144	0.965409925772126
46	1	#FF9E81	46	sous-entraînement	0.0790349662478616	0.407723614414666
46	2	#A197CC	46	validation	0.230774217024888	0.692237934520587
47	1	#FF9E81	47	sous-entraînement	0.917787871090197	0.855989221469349
47	2	#A197CC	47	validation	0.605700849876082	0.11308137240703
48	1	#A197CC	48	sous-entraînement	0.744909605247353	0.597295541860324
48	2	#A197CC	48	validation	0.718510538129622	0.37215396468476
49	1	#FF9E81	49	sous-entraînement	0.359291708781291	0.888263865962324
49	2	#A197CC	49	validation	0.527332338961709	0.148640554901601
50	1	#A197CC	50	sous-entraînement	0.58587948772123	0.767560566001203
50	2	#A197CC	50	validation	0.831468978386637	0.315435399371271
51	1	#A197CC	51	sous-entraînement	0.374229693294002	0.437640936245844
51	2	#A197CC	51	validation	0.234490329280894	0.675194020059693
52	1	#FF9E81	52	sous-entraînement	0.91610922861498	0.976138671139211
52	2	#A197CC	52	validation	0.527307280924274	0.349589567559831
53	1	#A197CC	53	sous-entraînement	0.986754048436329	0.338091214709136
53	2	#A197CC	53	validation	0.168952698841515	0.519231487673961
54	1	#A197CC	54	sous-entraînement	0.706306503961608	0.505184401110687
54	2	#A197CC	54	validation	0.980510642406212	0.16272565641587
55	1	#FF9E81	55	sous-entraînement	0.145895074493535	0.624266388290526
55	2	#FF9E81	55	validation	0.648323311790198	0.923404493675408
56	1	#FF9E81	56	sous-entraînement	0.153474516010967	0.752827244046849
56	2	#FF9E81	56	validation	0.174187752201852	0.967951903332682
57	1	#A197CC	57	sous-entraînement	0.351568900548219	0.362963296673401
57	2	#A197CC	57	validation	0.758636958584866	0.336714574884222
58	1	#A197CC	58	sous-entraînement	0.478058845613119	0.0890648267555427
58	2	#A197CC	58	validation	0.759472382818458	0.197603474050481
59	1	#A197CC	59	sous-entraînement	0.977950429681655	0.040519747967519
59	2	#A197CC	59	validation	0.701618864836997	0.700129037632462
60	1	#A197CC	60	sous-entraînement	0.768578697206314	0.637865588292572
60	2	#A197CC	60	validation	0.404744595997736	0.47839641389468
61	1	#A197CC	61	sous-entraînement	0.279294462541179	0.495700170840212
61	2	#FF9E81	61	validation	0.909407358000196	0.905177699703049
62	1	#FF9E81	62	sous-entraînement	0.116577269459148	0.156393905874994
62	2	#A197CC	62	validation	0.640944795658535	0.452834507673056
63	1	#A197CC	63	sous-entraînement	0.421747407896291	0.54405258461545
63	2	#A197CC	63	validation	0.262211131666854	0.696992326376745
64	1	#A197CC	64	sous-entraînement	0.38050624849667	0.127269442671487
64	2	#FF9E81	64	validation	0.00971211295257906	0.494613181951477
65	1	#A197CC	65	sous-entraînement	0.324135483075365	0.608870778633458
65	2	#A197CC	65	validation	0.835607821782687	0.23851781466943
66	1	#A197CC	66	sous-entraînement	0.570121101112105	-0.0673816533014411
66	2	#A197CC	66	validation	0.485088137492761	0.525580863261345
67	1	#FF9E81	67	sous-entraînement	0.110297897321705	0.67132087399248
67	2	#A197CC	67	validation	0.520116116680501	0.00351649445710275
68	1	#A197CC	68	sous-entraînement	0.591644247015485	0.593183485154705
68	2	#FF9E81	68	validation	0.842701211646476	0.925629035832675
69	1	#FF9E81	69	sous-entraînement	0.0815296306656056	0.466704791985039
69	2	#A197CC	69	validation	0.77919105438469	0.588941784439868
70	1	#A197CC	70	sous-entraînement	0.408429590751157	0.507374620918608
70	2	#FF9E81	70	validation	0.691106207006178	1.03993407609129
71	1	#A197CC	71	sous-entraînement	0.705889359420853	0.653246604386229
71	2	#A197CC	71	validation	0.725228322831856	0.718153612043088
72	1	#A197CC	72	sous-entraînement	0.529859791567716	0.214230546029217
72	2	#A197CC	72	validation	0.69968414047882	0.250042698501583
73	1	#A197CC	73	sous-entraînement	0.751815281629781	0.352562584163863
73	2	#A197CC	73	validation	0.473923574945565	0.787457851160863
74	1	#A197CC	74	sous-entraînement	0.478099846021228	0.733914734162688
74	2	#FF9E81	74	validation	0.12768952961521	0.147887231415708
75	1	#FF9E81	75	sous-entraînement	0.610701279761684	0.915568144467846
75	2	#A197CC	75	validation	0.667998712148484	0.0966815885612355
76	1	#A197CC	76	sous-entraînement	0.860281485196569	0.577517919017655
76	2	#A197CC	76	validation	0.500128977199168	0.62145606633131
77	1	#A197CC	77	sous-entraînement	0.198329169658781	0.440748228369742
77	2	#A197CC	77	validation	0.422193688496974	0.325294578402543
78	1	#FF9E81	78	sous-entraînement	0.0457065453418125	0.238177778990819
78	2	#FF9E81	78	validation	-0.00369396836212481	0.535218512955329
79	1	#A197CC	79	sous-entraînement	0.487570928453394	0.103912723470787
79	2	#A197CC	79	validation	0.366273147368446	0.409475792058488
80	1	#A197CC	80	sous-entraînement	0.500294718309641	0.1914361331597
80	2	#A197CC	80	validation	0.592783734048475	0.29649215298853
81	1	#FF9E81	81	sous-entraînement	0.281671017714465	0.875632243861123
81	2	#A197CC	81	validation	0.934130943128047	0.332341121353903
82	1	#A197CC	82	sous-entraînement	0.376715806756273	0.822855378688818
82	2	#A197CC	82	validation	0.511989878695174	0.432018790234821
83	1	#A197CC	83	sous-entraînement	0.368321903944322	0.426626954549573
83	2	#FF9E81	83	validation	0.619908314658933	0.966600399825626
84	1	#A197CC	84	sous-entraînement	0.695085938135267	0.276031826941055
84	2	#A197CC	84	validation	0.465793896768572	0.0426992800211062
85	1	#A197CC	85	sous-entraînement	0.885698246998585	0.290623867172023
85	2	#FF9E81	85	validation	0.0770269342704119	0.707174297676156
86	1	#FF9E81	86	sous-entraînement	0.844730468582628	0.860333512417685
86	2	#A197CC	86	validation	0.454471857797289	0.617467493326823
87	1	#A197CC	87	sous-entraînement	0.329917284029691	0.523817625082434
87	2	#FF9E81	87	validation	0.36953342942992	0.813538810108926
88	1	#FF9E81	88	sous-entraînement	0.89046203442946	0.951955789367441
88	2	#A197CC	88	validation	0.459651202955274	0.388294469387919
89	1	#A197CC	89	sous-entraînement	0.493751793905962	0.778128706575983
89	2	#A197CC	89	validation	0.90372145091202	0.529859563918987
90	1	#FF9E81	90	sous-entraînement	1.02101341713726	0.949071795377785
90	2	#A197CC	90	validation	0.828690320773144	0.539491188506855
91	1	#A197CC	91	sous-entraînement	0.761709457217466	0.170883680924901
91	2	#A197CC	91	validation	0.373093313695972	0.313636662871781
92	1	#A197CC	92	sous-entraînement	0.251989650423566	0.46827790226863
92	2	#FF9E81	92	validation	0.410990609080784	0.952663874813089
93	1	#A197CC	93	sous-entraînement	0.194754524909138	0.139140013390691
93	2	#FF9E81	93	validation	0.783138285159902	0.848026827812394
94	1	#FF9E81	94	sous-entraînement	0.083387821047144	0.771758140337289
94	2	#A197CC	94	validation	0.784350588068446	0.724694122049344
95	1	#FF9E81	95	sous-entraînement	0.0969989045552084	0.597904547899913
95	2	#FF9E81	95	validation	0.223977926263144	0.965409925772126
96	1	#FF9E81	96	sous-entraînement	0.0790349662478616	0.407723614414666
96	2	#A197CC	96	validation	0.230774217024888	0.692237934520587
97	1	#FF9E81	97	sous-entraînement	0.917787871090197	0.855989221469349
97	2	#A197CC	97	validation	0.605700849876082	0.11308137240703
98	1	#A197CC	98	sous-entraînement	0.744909605247353	0.597295541860324
98	2	#A197CC	98	validation	0.718510538129622	0.37215396468476
99	1	#FF9E81	99	sous-entraînement	0.359291708781291	0.888263865962324
99	2	#A197CC	99	validation	0.527332338961709	0.148640554901601
100	1	#A197CC	100	sous-entraînement	0.58587948772123	0.767560566001203
100	2	#A197CC	100	validation	0.831468978386637	0.315435399371271
